Market,Sub-Category,Year,Week_of_Year,Month,Quarter,Season,Promotion_Flag,Discount,Sales,Quantity,week_sin,week_cos,year_week,year_week_date,Sales_lag_1,Sales_lag_4,Sales_lag_12,Sales_roll_mean_4,Sales_roll_mean_12,Sales_roll_std_4,Sales_roll_std_12,Quantity_lag_1,Quantity_lag_4,Quantity_lag_12,Quantity_roll_mean_4,Quantity_roll_mean_12,Quantity_roll_std_4,Quantity_roll_std_12
APAC,Appliances,2011,19,5,2,Autumn,1.0,0.4,134.73,3,0.7485107481711013,-0.663122658240795,2011-19,2011-05-09,302.0922812025736,246.4905812025736,276.102,245.4832156012868,338.0141291350491,78.09266656984254,167.115734303009,3.0,6.0,1.0,4.0,6.333333333333333,1.9999999999999996,3.8455011101128007
APAC,Appliances,2011,21,5,2,Spring,0.0,0.0,246.4905812025736,7,0.5680647467311558,-0.8229838658936564,2011-21,2011-05-23,134.73,246.4905812025736,598.8405812025736,245.4832156012868,308.65162913504906,78.09266656984254,146.847044734862,3.0,3.0,15.0,5.0,5.666666666666667,2.309401076758503,2.7413776673693664
APAC,Appliances,2011,22,5,2,Autumn,1.0,0.4,246.4905812025736,4,0.46472317204376906,-0.8854560256532096,2011-22,2011-05-30,246.4905812025736,298.62,278.16,232.45086090193018,306.01251090193017,70.22231736693058,147.72679855154053,7.0,7.0,4.0,4.25,5.666666666666667,1.892969448600091,2.7413776673693664
APAC,Appliances,2011,23,6,2,Autumn,1.0,0.1,246.4905812025736,9,0.35460488704253584,-0.9350162426854147,2011-23,2011-06-06,246.4905812025736,302.0922812025736,557.5605812025735,218.5504359019302,280.09001090193016,55.88029060128653,125.13919285823634,4.0,3.0,5.0,5.75,6.0,2.7537852736430506,2.891995221924884
APAC,Appliances,2011,25,6,2,Summer,0.6,0.08800000000000001,983.6851624051471,15,0.12053668025532308,-0.992708874098054,2011-25,2011-06-20,246.4905812025736,134.73,543.456,430.789226503217,316.7757744356925,368.5972906012868,229.97872303440442,9.0,3.0,9.0,8.75,6.5,4.645786621588784,3.825750075000147
APAC,Appliances,2011,26,6,2,Summer,1.0,0.17,413.1462812025736,7,-3.216245299353273e-16,-1.0,2011-26,2011-06-27,983.6851624051471,246.4905812025736,246.4905812025736,472.453151503217,330.66374943569247,349.7587931653446,230.38014030675663,15.0,7.0,9.0,8.75,6.333333333333333,4.645786621588784,3.7497474662443677
APAC,Appliances,2011,30,7,3,Summer,1.0,0.1466666666666667,1005.0247624051472,8,-0.46472317204376806,-0.8854560256532101,2011-30,2011-07-25,413.1462812025736,246.4905812025736,110.2572,662.0866968038604,405.22771296945467,389.7535767370942,289.71638363469754,7.0,4.0,2.0,9.75,6.833333333333333,3.5939764421413036,3.511884584284246
APAC,Appliances,2011,32,8,3,Summer,0.0,0.0,333.84,4,-0.663122658240795,-0.7485107481711013,2011-32,2011-08-08,1005.0247624051472,246.4905812025736,492.9811624051472,683.924051503217,391.96594943569244,360.0193671442224,288.97569221788774,8.0,9.0,10.0,8.5,6.333333333333333,4.654746681256313,3.446561747421316
APAC,Appliances,2011,33,8,3,Summer,0.0,0.0,740.7105812025736,4,-0.7485107481711011,-0.6631226582407952,2011-33,2011-08-15,333.84,983.6851624051471,246.4905812025736,623.1804062025735,433.15094943569244,309.54302809425076,301.31254421953435,4.0,15.0,6.0,5.75,6.166666666666667,2.06155281280883,3.5118845842842457
APAC,Appliances,2011,36,9,3,Summer,0.5,0.085,534.0405812025735,10,-0.9350162426854147,-0.3546048870425359,2011-36,2011-09-05,740.7105812025736,413.1462812025736,246.4905812025736,653.4039812025735,457.1134494356925,287.30261370122554,296.51428759055386,4.0,7.0,3.0,6.5,6.75,2.9999999999999996,3.5194266061907915
APAC,Appliances,2011,37,9,3,Winter,1.0,0.1,126.846,2,-0.970941817426052,-0.23931566428755774,2011-37,2011-09-12,534.0405812025735,1005.0247624051472,298.62,433.8592906012868,442.79894943569246,263.6000914443631,308.7549051385704,10.0,8.0,7.0,5.0,6.333333333333333,3.4641016151377544,3.7739136506316937
APAC,Appliances,2011,38,9,3,Winter,1.0,0.1,246.4905812025736,9,-0.992708874098054,-0.12053668025532357,2011-38,2011-09-19,126.846,333.84,302.0922812025736,412.0219359019302,438.16547443569243,277.8793018300826,311.4637708078919,2.0,4.0,3.0,6.25,6.833333333333333,3.862210075418822,3.688639397672345
APAC,Appliances,2011,39,9,3,Autumn,1.0,0.17,684.2076812025737,4,-1.0,-1.8369701987210297e-16,2011-39,2011-09-26,246.4905812025736,740.7105812025736,134.73,397.8962109019302,483.9552812025736,256.19096336191257,303.07660137396175,9.0,4.0,3.0,6.25,6.916666666666667,3.862210075418822,3.60450055381106
APAC,Appliances,2011,40,10,4,Autumn,0.0,0.0,246.4905812025736,4,-0.992708874098054,0.1205366802553232,2011-40,2011-10-03,684.2076812025737,534.0405812025735,246.4905812025736,326.0087109019302,483.9552812025736,245.36948576926088,303.07660137396175,4.0,10.0,7.0,4.75,6.666666666666667,2.9860788111948193,3.7009417310962482
APAC,Appliances,2011,41,10,4,Autumn,0.25,0.025,987.0271624051472,14,-0.9709418174260521,0.23931566428755738,2011-41,2011-10-10,246.4905812025736,126.846,246.4905812025736,541.054001503217,545.6666629694547,361.9024976494599,324.9338376766426,4.0,2.0,4.0,7.75,7.5,4.78713553878169,4.145095678246545
APAC,Appliances,2011,42,10,4,Spring,1.0,0.1,246.4905812025736,9,-0.9350162426854148,0.35460488704253557,2011-42,2011-10-17,987.0271624051472,246.4905812025736,246.4905812025736,541.054001503217,545.6666629694547,361.9024976494599,324.9338376766426,14.0,9.0,9.0,7.75,7.5,4.78713553878169,4.145095678246545
APAC,Appliances,2011,43,10,4,Autumn,0.5,0.085,668.4405812025736,7,-0.8854560256532101,0.464723172043768,2011-43,2011-10-24,246.4905812025736,684.2076812025737,983.6851624051471,537.112226503217,519.3962812025735,359.90390742075584,297.9221407122494,9.0,4.0,15.0,8.5,6.833333333333333,4.203173404306163,3.406766884607839
APAC,Appliances,2011,44,11,4,Autumn,1.0,0.3,388.9305812025736,9,-0.822983865893657,0.5680647467311548,2011-44,2011-10-31,668.4405812025736,246.4905812025736,413.1462812025736,572.722226503217,517.3783062025736,327.11722598936745,298.7880049453649,7.0,4.0,7.0,9.75,7.0,2.986078811194819,3.4641016151377544
APAC,Appliances,2011,45,11,4,Autumn,0.0,0.0,246.4905812025736,4,-0.7485107481711011,0.6631226582407952,2011-45,2011-11-07,388.9305812025736,987.0271624051472,1005.0247624051472,387.5880812025736,454.1671244356924,198.9111510825876,264.5150351794606,9.0,14.0,8.0,7.25,6.666666666666667,2.3629078131263035,3.5505014583943777
APAC,Appliances,2011,46,11,4,Autumn,0.5,0.2,362.772,9,-0.6631226582407955,0.7485107481711007,2011-46,2011-11-14,246.4905812025736,246.4905812025736,333.84,416.6584359019302,456.5781244356925,178.90773168090217,263.4482766277691,4.0,9.0,4.0,7.25,7.083333333333333,2.3629078131263035,3.502163833282434
APAC,Appliances,2011,47,11,4,Autumn,1.0,0.15,246.4905812025736,5,-0.5680647467311559,0.8229838658936564,2011-47,2011-11-21,362.772,668.4405812025736,740.7105812025736,311.1709359019302,415.39312443569247,75.44607085285939,253.4320800481589,9.0,7.0,4.0,6.75,7.166666666666667,2.6299556396765826,3.433348043510705
APAC,Appliances,2011,48,11,4,Autumn,0.5,0.05,452.06858120257357,6,-0.4647231720437684,0.88545602565321,2011-48,2011-11-28,246.4905812025736,388.9305812025736,534.0405812025735,326.9554359019302,408.5621244356924,99.80866875241529,251.036746779994,5.0,9.0,10.0,6.0,6.833333333333333,2.160246899469286,3.325748947320897
APAC,Appliances,2011,49,12,4,Autumn,1.0,0.16,442.0245812025736,8,-0.35460488704253595,0.9350162426854147,2011-49,2011-12-05,452.06858120257357,246.4905812025736,126.846,375.8389359019302,434.8270062025736,95.03199486457197,234.8484160334803,6.0,4.0,2.0,7.0,7.333333333333333,1.8257418583505527,2.9644356609443867
APAC,Appliances,2011,50,12,4,Autumn,0.6666666666666666,0.09000000000000001,643.9707812025736,10,-0.2393156642875578,0.970941817426052,2011-50,2011-12-12,442.0245812025736,362.772,246.4905812025736,446.1386312025736,467.95035620257363,162.3257970428914,233.89900647007715,8.0,9.0,9.0,7.25,7.416666666666667,2.2173557826083443,3.0289011909011525
APAC,Appliances,2011,51,12,4,Winter,0.6,0.23399999999999999,1147.6512812025735,13,-0.12053668025532363,0.992708874098054,2011-51,2011-12-19,643.9707812025736,246.4905812025736,684.2076812025737,671.4288062025736,506.5706562025736,330.80054191407015,301.37925118138884,10.0,5.0,4.0,9.25,8.166666666666666,2.986078811194819,3.214550253664318
APAC,Appliances,2012,1,1,1,Winter,1.0,0.17,246.4905812025736,6,0.12053668025532305,0.992708874098054,2012-1,2012-01-02,1147.6512812025735,452.06858120257357,246.4905812025736,620.0343062025736,506.5706562025736,387.37363695577227,301.37925118138884,13.0,6.0,4.0,9.25,8.333333333333334,2.986078811194819,3.0251471289038405
APAC,Appliances,2012,2,1,1,Winter,1.0,0.15,246.4905812025736,5,0.23931566428755774,0.970941817426052,2012-2,2012-01-09,246.4905812025736,442.0245812025736,987.0271624051472,571.1508062025736,444.85927443569244,427.5761413005202,268.0277527784101,6.0,8.0,14.0,8.5,7.583333333333333,3.6968455021364717,2.574643252722185
APAC,Appliances,2012,3,1,1,Summer,0.5,0.05,356.7405812025736,5,0.3546048870425356,0.9350162426854148,2012-3,2012-01-16,246.4905812025736,643.9707812025736,246.4905812025736,499.34325620257357,454.04677443569244,435.3189515385499,262.4412458265637,5.0,10.0,9.0,7.25,7.25,3.862210075418822,2.6328346286499227
APAC,Appliances,2012,4,1,1,Winter,0.0,0.0,315.1005812025736,6,0.4647231720437685,0.8854560256532099,2012-4,2012-01-23,356.7405812025736,1147.6512812025735,668.4405812025736,291.2055812025736,424.60177443569245,54.358898995471264,255.941528577235,5.0,13.0,7.0,5.5,7.166666666666667,0.5773502691896211,2.657180095628833
APAC,Appliances,2012,5,1,1,Summer,1.0,0.1,440.64,5,0.5680647467311558,0.8229838658936564,2012-5,2012-01-30,315.1005812025736,246.4905812025736,388.9305812025736,339.7429359019302,428.91089266881136,81.1837109923733,255.72156292772468,6.0,6.0,9.0,5.25,6.833333333333333,0.49999999999999445,2.6571800956288327
APAC,Appliances,2012,6,2,1,Summer,1.0,0.1,302.8395812025736,4,0.6631226582407952,0.7485107481711011,2012-6,2012-02-06,440.64,246.4905812025736,246.4905812025736,353.8301859019302,433.6066426688113,62.301520239133566,252.5651850928441,5.0,5.0,4.0,5.0,6.833333333333333,0.8164965809277226,2.6571800956288327
APAC,Appliances,2012,7,2,1,Summer,1.0,0.4,371.808,8,0.7485107481711011,0.6631226582407953,2012-7,2012-02-13,302.8395812025736,356.7405812025736,362.772,357.5970406012868,434.3596426688113,62.9878636298454,252.3481760397541,4.0,5.0,9.0,5.75,6.75,1.7078251276599314,2.5980762113533142
APAC,Appliances,2012,10,3,1,Summer,1.0,0.4,246.4905812025736,2,0.9350162426854148,0.35460488704253557,2012-10,2012-03-05,371.808,315.1005812025736,246.4905812025736,340.4445406012868,434.3596426688113,84.19080735180732,252.3481760397541,8.0,6.0,5.0,4.75,6.5,2.4999999999999987,2.907670107585358
APAC,Appliances,2012,12,3,1,Autumn,0.5,0.2,770.4480000000001,12,0.992708874098054,0.120536680255323,2012-12,2012-03-19,246.4905812025736,440.64,452.06858120257357,422.8965406012868,460.89126090193014,237.30064750746692,270.4659746191018,2.0,5.0,6.0,6.5,7.0,4.4347115652166895,3.302891295379081
APAC,Appliances,2012,13,3,1,Autumn,1.0,0.1,381.375,5,1.0,-1.6081226496766366e-16,2012-13,2012-03-26,770.4480000000001,302.8395812025736,442.0245812025736,442.5303953006434,455.83712913504905,227.08530244147423,271.41558722292353,12.0,4.0,8.0,6.75,6.75,4.272001872658765,3.3337120996925274
